pitch_acc,roll_acc,pitch_gyro,roll_gyro,pitch_comp,roll_comp
4.79,45.68,-7.03,45.75,-6.66,44.98
2.88,45.34,-7.25,46.81,-6.85,46.03
1.54,46.98,-7.41,47.85,-6.98,47.07
2.82,49.78,-7.45,49.07,-6.99,48.30
4.13,50.40,-7.15,50.30,-6.65,49.53
3.98,51.15,-7.04,51.48,-6.50,50.71
3.44,53.51,-6.97,52.59,-6.40,51.82
2.97,54.94,-7.04,53.86,-6.43,53.10
2.34,55.66,-7.10,55.03,-6.46,54.28
5.03,56.70,-7.08,55.91,-6.41,55.15
6.16,58.15,-7.22,56.72,-6.50,55.97
3.18,58.53,-7.58,57.51,-6.83,56.77
3.84,59.72,-7.73,58.29,-6.93,57.55
2.68,59.46,-7.80,59.23,-6.97,58.50
3.66,61.71,-7.81,60.12,-6.94,59.40
4.23,62.52,-7.77,61.04,-6.86,60.32
3.21,64.39,-7.91,62.06,-6.97,61.36
3.87,65.25,-8.02,63.14,-7.04,62.44
4.92,65.65,-7.98,64.06,-6.95,63.37
6.48,67.37,-8.05,65.04,-6.98,64.37
4.93,68.02,-8.13,66.01,-7.02,65.34
-1.61,68.13,-8.15,66.93,-7.02,66.27
0.04,69.89,-8.00,67.76,-6.85,67.11
3.20,71.19,-7.77,68.73,-6.58,68.08
3.78,70.62,-7.62,69.67,-6.40,69.04
1.02,73.27,-7.34,70.54,-6.10,69.91
5.29,73.87,-7.04,71.43,-5.75,70.81
7.85,74.46,-6.78,72.28,-5.44,71.67
6.37,75.39,-6.61,73.05,-5.23,72.46
7.82,76.88,-6.49,73.84,-5.07,73.26
7.99,77.91,-6.26,74.68,-4.79,74.11
4.76,79.48,-6.06,75.40,-4.56,74.85
9.48,80.50,-5.82,76.01,-4.27,75.47
13.78,80.79,-5.43,76.41,-3.81,75.90
17.05,81.90,-5.07,76.43,-3.38,75.94
18.68,82.28,-4.81,75.66,-3.04,75.19
24.72,82.25,-4.50,73.94,-2.63,73.51
16.06,79.04,-4.41,71.80,-2.47,71.39
14.39,75.33,-4.50,69.36,-2.49,68.98
13.23,74.26,-4.72,66.79,-2.65,66.44
10.23,68.43,-5.38,64.04,-3.27,63.72
4.47,63.29,-6.15,61.06,-4.00,60.74
4.88,61.09,-6.47,58.13,-4.29,57.83
5.66,57.85,-6.86,55.66,-4.65,55.36
3.01,55.89,-7.59,53.46,-5.36,53.17
-1.32,51.62,-8.30,51.53,-6.05,51.24
-4.18,49.05,-8.49,49.73,-6.23,49.44
-1.74,49.45,-8.80,47.93,-6.53,47.64
-1.62,47.77,-9.29,46.11,-7.01,45.82
-2.18,44.83,-9.69,44.08,-7.39,43.80
-2.85,44.16,-9.89,41.74,-7.57,41.47
-2.57,41.56,-10.11,39.55,-7.78,39.29
-1.92,37.46,-10.48,36.82,-8.13,36.56
-3.82,37.15,-10.98,33.85,-8.61,33.60
-3.06,32.82,-11.44,31.18,-9.06,30.94
-3.09,27.49,-11.79,28.56,-9.39,28.32
-2.22,27.97,-12.30,26.15,-9.87,25.91
-2.92,24.53,-12.70,24.04,-10.25,23.80
-5.98,20.73,-12.58,21.67,-10.12,21.43
-3.93,19.85,-12.76,19.28,-10.28,19.04
-4.34,17.69,-13.41,16.77,-10.91,16.53
-4.40,14.29,-13.63,13.89,-11.11,13.65
-5.13,11.38,-13.80,11.28,-11.25,11.04
-5.71,8.06,-14.09,8.86,-11.52,8.62
-4.30,5.80,-13.86,6.69,-11.27,6.45
-7.49,2.30,-13.45,4.80,-10.86,4.54
-5.73,1.35,-13.75,2.90,-11.14,2.64
-4.26,0.32,-14.17,1.09,-11.54,0.82
-7.37,-1.92,-13.47,-1.08,-10.83,-1.35
-4.81,-3.98,-13.47,-3.59,-10.81,-3.86
-3.46,-6.08,-13.17,-5.76,-10.49,-6.03
-6.76,-9.82,-12.79,-8.15,-10.10,-8.43
-5.58,-12.85,-13.21,-10.42,-10.50,-10.71
-3.03,-13.28,-13.24,-12.81,-10.51,-13.10
-5.24,-16.85,-13.30,-15.43,-10.56,-15.73
-7.91,-19.22,-14.51,-17.78,-11.75,-18.08
-5.95,-21.51,-15.04,-19.81,-12.27,-20.12
-8.82,-24.91,-16.54,-21.61,-13.75,-21.93
-10.17,-25.39,-17.55,-23.22,-14.75,-23.55
-9.31,-27.21,-17.58,-24.69,-14.76,-25.03
-12.13,-29.31,-17.44,-26.03,-14.62,-26.39
-10.77,-29.79,-17.33,-27.23,-14.50,-27.60
-10.97,-30.30,-17.08,-28.48,-14.24,-28.86
-12.67,-33.00,-16.91,-29.82,-14.07,-30.21
-13.19,-35.27,-17.09,-31.23,-14.24,-31.64
-12.30,-36.03,-17.83,-32.59,-14.98,-33.00
-13.73,-37.37,-18.29,-33.85,-15.44,-34.28
-13.43,-39.46,-18.84,-35.30,-15.99,-35.75
-15.54,-39.56,-18.99,-36.52,-16.13,-36.98
-15.50,-42.14,-18.52,-37.52,-15.68,-38.00
-13.49,-41.68,-18.77,-38.74,-15.92,-39.23
-14.57,-42.45,-18.60,-39.79,-15.75,-40.29
-17.29,-43.58,-18.67,-40.84,-15.83,-41.35
-17.59,-44.40,-18.86,-41.96,-16.04,-42.48
-17.84,-46.03,-19.26,-43.15,-16.45,-43.68
-17.67,-47.92,-19.67,-44.32,-16.86,-44.86
-19.29,-48.67,-19.84,-45.23,-17.05,-45.79
-20.66,-49.63,-20.39,-46.08,-17.61,-46.65
-18.94,-50.13,-20.34,-46.73,-17.58,-47.32
-21.49,-50.59,-20.42,-47.19,-17.67,-47.78
-23.12,-50.41,-20.76,-47.28,-18.04,-47.89
-19.94,-50.36,-20.93,-47.03,-18.22,-47.65
-20.69,-49.32,-20.86,-46.61,-18.17,-47.24
-22.19,-49.68,-20.44,-45.72,-17.77,-46.36
-23.02,-48.11,-19.66,-44.25,-17.03,-44.90
-19.12,-44.41,-18.22,-42.39,-15.60,-43.05
-13.50,-43.07,-17.08,-40.27,-14.46,-40.95
-12.97,-42.14,-14.46,-37.59,-11.85,-38.28
-11.03,-38.14,-12.54,-35.08,-9.94,-35.78
-8.91,-35.22,-10.58,-33.03,-7.99,-33.74
-7.79,-36.58,-7.55,-30.97,-4.97,-31.70
-3.73,-32.78,-6.36,-29.41,-3.79,-30.15
0.67,-30.38,-4.86,-28.10,-2.28,-28.85
1.99,-30.02,-2.58,-26.93,0.00,-27.69
4.17,-28.98,-0.88,-25.66,1.70,-26.43
5.70,-25.01,1.34,-24.44,3.93,-25.21
8.02,-25.85,4.47,-22.95,7.05,-23.74
10.74,-24.27,6.32,-21.52,8.91,-22.31
14.66,-21.90,8.91,-20.16,11.50,-20.96
16.87,-20.45,11.12,-18.71,13.72,-19.51
17.75,-19.64,12.70,-17.19,15.30,-18.00
20.30,-18.26,14.82,-15.87,17.43,-16.69
22.99,-16.31,16.50,-14.64,19.12,-15.46
25.23,-14.71,17.92,-13.28,20.55,-14.11
25.70,-12.68,20.32,-11.81,22.96,-12.64
29.01,-11.29,22.04,-10.40,24.70,-11.23
29.77,-8.99,24.24,-8.89,26.90,-9.72
34.46,-7.98,25.69,-7.21,28.37,-8.04
34.71,-4.66,26.85,-5.69,29.54,-6.51
36.50,-4.62,27.96,-4.41,30.67,-5.24
39.02,-3.64,28.35,-3.32,31.09,-4.14
38.25,-1.68,28.77,-2.48,31.52,-3.30
38.49,0.06,28.70,-1.74,31.48,-2.55
38.49,1.73,28.92,-1.11,31.72,-1.90
38.21,3.01,28.69,-0.31,31.51,-1.09
37.46,3.07,28.36,0.66,31.20,-0.11
37.57,4.24,28.52,1.47,31.39,0.71
39.00,4.28,28.56,2.45,31.45,1.70
38.43,7.84,28.34,3.47,31.26,2.74
38.65,8.78,28.47,4.36,31.40,3.65
37.30,7.81,28.43,5.18,31.39,4.48
37.57,10.41,28.43,6.12,31.40,5.44
38.82,10.80,28.53,7.11,31.53,6.44
37.35,12.17,28.59,8.03,31.61,7.39
36.81,13.22,28.52,9.16,31.55,8.53
39.39,15.11,28.51,9.98,31.57,9.37
38.89,17.04,28.08,10.70,31.16,10.11
38.11,17.30,27.53,11.37,30.63,10.81
36.95,17.04,27.02,11.96,30.15,11.42
36.59,17.75,26.42,12.64,29.57,12.13
36.57,19.18,25.85,13.53,29.03,13.04
34.18,21.75,25.52,14.75,28.71,14.29
35.56,22.45,25.45,16.11,28.67,15.68
37.06,22.02,24.87,17.35,28.12,16.93
35.01,25.78,24.20,18.47,27.47,18.08
33.93,26.90,23.48,19.66,26.77,19.30
33.14,26.53,22.60,20.93,25.92,20.59
33.90,29.51,22.05,22.29,25.39,21.98
33.10,30.41,21.31,23.81,24.69,23.52
35.34,32.52,20.25,25.17,23.67,24.91
31.03,33.33,19.07,26.28,22.52,26.06
32.51,34.74,17.78,27.11,21.27,26.91
28.66,35.17,16.37,27.65,19.88,27.48
29.00,35.47,14.84,28.03,18.40,27.90
24.92,36.19,13.23,28.39,16.81,28.29
25.04,36.80,11.49,28.87,15.11,28.80
22.01,36.31,9.01,29.36,12.66,29.31
17.46,36.51,6.52,29.86,10.19,29.84
16.08,36.51,4.64,30.30,8.33,30.30
14.17,37.01,2.45,30.66,6.18,30.68
10.55,38.22,0.61,31.17,4.36,31.22
5.52,36.84,-0.94,31.87,2.81,31.93
4.39,38.54,-2.06,32.59,1.70,32.68
3.78,39.61,-3.56,33.15,0.20,33.26
1.75,38.97,-5.57,33.74,-1.79,33.87
-1.36,40.62,-7.09,34.28,-3.31,34.43
-6.70,41.54,-8.94,34.76,-5.18,34.94
-11.84,41.59,-10.41,35.13,-6.67,35.34
-11.63,40.79,-11.70,35.37,-7.98,35.59
-14.60,42.62,-12.94,35.33,-9.25,35.58
-17.75,42.73,-14.65,35.10,-10.99,35.38
-20.02,44.53,-16.23,34.81,-12.60,35.13
-19.40,40.25,-18.62,34.51,-15.02,34.85
-23.42,43.04,-19.89,34.14,-16.32,34.50
-27.57,41.50,-21.39,33.77,-17.87,34.17
-28.01,39.63,-23.22,33.36,-19.74,33.78
-33.03,40.70,-24.99,32.94,-21.56,33.38
-33.53,39.65,-26.73,32.60,-23.34,33.07
-34.24,38.30,-27.90,32.03,-24.56,32.53
-41.14,42.19,-30.22,31.60,-26.94,32.13
-38.82,38.79,-32.78,31.01,-29.55,31.57
-44.42,38.33,-34.48,30.30,-31.30,30.89
-50.81,38.77,-36.99,29.43,-33.89,30.05
-49.96,39.19,-39.28,29.04,-36.24,29.70
-52.12,35.80,-40.69,28.62,-37.70,29.30
-53.99,37.11,-42.11,27.95,-39.19,28.66
-55.48,35.71,-44.50,27.31,-41.64,28.05
-57.53,33.49,-46.33,26.64,-43.54,27.40
-58.47,35.40,-47.44,26.13,-44.71,26.93
-63.09,38.68,-48.87,25.31,-46.21,26.15
-62.04,35.20,-50.08,24.62,-47.48,25.51
-63.95,32.16,-50.82,24.11,-48.29,25.02
-65.38,31.49,-51.79,23.41,-49.33,24.35
-63.78,31.16,-53.46,22.53,-51.06,23.50
-66.57,27.85,-54.16,21.55,-51.82,22.54
-66.30,26.67,-54.29,20.52,-52.02,21.53
-68.29,25.40,-54.94,19.31,-52.73,20.34
-68.98,23.57,-55.44,18.03,-53.30,19.07
-68.94,15.10,-56.37,16.60,-54.30,17.64
-69.11,10.67,-57.39,14.87,-55.38,15.88
-70.42,9.23,-58.33,13.17,-56.37,14.16
-70.92,0.57,-58.42,11.47,-56.53,12.41
-72.08,-6.59,-59.84,9.89,-58.01,10.76
-71.79,-7.82,-61.12,8.50,-59.35,9.30
-72.65,-14.61,-62.23,7.34,-60.51,8.04
-76.74,-18.45,-62.84,5.92,-61.19,6.53
-74.93,-24.59,-62.99,4.55,-61.40,5.03
-75.82,-31.25,-62.21,3.06,-60.68,3.40
-75.48,-32.83,-62.06,1.40,-60.60,1.60
-75.52,-35.79,-62.43,0.12,-61.04,0.18
-77.71,-43.98,-61.80,-1.23,-60.48,-1.34
-76.21,-44.24,-60.72,-2.82,-59.47,-3.11
-74.34,-44.61,-60.73,-4.09,-59.55,-4.54
-77.86,-52.61,-59.50,-5.82,-58.40,-6.45
-72.10,-46.92,-58.03,-7.78,-56.99,-8.57
-76.11,-53.97,-56.98,-9.61,-56.03,-10.57
-70.53,-49.61,-55.58,-11.15,-54.70,-12.27
-70.07,-50.94,-54.05,-12.54,-53.24,-13.81
-69.36,-52.44,-52.51,-13.74,-51.78,-15.15
-69.17,-52.99,-51.22,-15.14,-50.57,-16.71
-68.00,-52.68,-49.92,-16.59,-49.35,-18.29
-66.86,-53.59,-48.60,-17.89,-48.12,-19.73
-65.21,-52.95,-47.68,-19.21,-47.26,-21.18
-63.80,-54.57,-46.03,-20.35,-45.69,-22.46
-62.81,-53.70,-44.47,-21.18,-44.22,-23.41
-62.50,-53.80,-41.97,-21.63,-41.80,-23.98
-60.37,-52.78,-39.56,-21.70,-39.48,-24.16
-54.52,-47.70,-37.37,-21.89,-37.37,-24.44
-55.23,-48.21,-33.94,-22.00,-34.03,-24.65
-51.06,-47.55,-31.44,-21.88,-31.61,-24.63
-47.12,-44.12,-28.93,-21.77,-29.18,-24.59
-47.06,-45.69,-26.88,-21.90,-27.21,-24.81
-42.76,-43.70,-24.98,-21.69,-25.39,-24.68
-41.12,-42.94,-22.34,-21.43,-22.83,-24.49
-37.99,-41.30,-20.60,-21.01,-21.16,-24.14
-34.55,-38.46,-18.29,-20.58,-18.92,-23.78
-33.77,-38.76,-15.87,-20.03,-16.57,-23.29
-30.69,-36.56,-12.70,-19.30,-13.48,-22.62
-25.59,-35.49,-10.57,-18.68,-11.41,-22.05
-24.05,-32.57,-7.99,-17.78,-8.90,-21.20
-20.34,-34.41,-4.97,-16.99,-5.94,-20.47
-17.72,-31.57,-3.47,-16.01,-4.50,-19.54
-14.63,-30.01,-0.61,-14.84,-1.70,-18.42
-10.80,-29.36,2.27,-13.62,1.14,-17.24
-7.59,-26.85,4.51,-12.36,3.32,-16.03
-5.03,-26.41,8.24,-10.91,7.00,-14.63
-0.67,-26.02,10.43,-9.32,9.15,-13.09
2.75,-21.71,12.59,-7.67,11.27,-11.48
2.65,-21.37,15.14,-6.04,13.76,-9.91
7.72,-19.44,16.08,-4.26,14.67,-8.16
6.90,-16.22,18.25,-2.71,16.79,-6.66
10.62,-16.40,22.01,-0.99,20.51,-4.98
16.58,-15.25,24.21,1.10,22.68,-2.95
17.37,-10.38,25.85,2.94,24.29,-1.14
19.29,-8.46,27.15,4.77,25.55,0.64
21.56,-8.73,28.60,6.31,26.98,2.15
20.18,-6.39,28.77,8.11,27.12,3.90
19.73,-4.53,29.14,9.66,27.45,5.40
22.60,-1.86,29.95,11.42,28.23,7.13
23.88,-1.46,30.51,13.24,28.76,8.91
22.49,0.67,31.20,15.04,29.42,10.67
24.23,3.27,32.42,16.99,30.61,12.57
27.72,6.96,33.78,18.92,31.95,14.48
28.13,9.25,34.86,21.16,33.01,16.68
28.82,10.37,35.64,23.31,33.76,18.80
29.98,14.39,36.29,25.40,34.38,20.86
30.77,17.09,37.11,27.41,35.19,22.85
32.45,18.02,37.59,29.19,35.65,24.59
34.92,21.21,37.65,30.87,35.70,26.26
31.57,22.88,37.10,32.37,35.12,27.74
32.60,25.14,36.63,33.71,34.64,29.06
30.39,26.64,36.13,35.28,34.13,30.61
32.65,30.27,35.23,37.15,33.21,32.47
29.34,30.22,34.41,39.10,32.38,34.40
28.24,31.34,33.90,41.11,31.85,36.39
28.63,33.72,33.71,43.26,31.64,38.52
29.69,37.31,33.33,45.23,31.25,40.48
28.88,40.05,32.47,47.24,30.38,42.47
27.88,40.35,32.01,48.93,29.91,44.15
31.47,45.52,31.32,50.70,29.22,45.91
28.34,44.23,30.45,52.34,28.34,47.53
26.96,46.56,29.57,53.76,27.46,48.95
25.24,48.71,28.98,55.24,26.85,50.42
25.26,50.80,28.59,56.86,26.45,52.04
26.42,51.19,28.38,58.57,26.24,53.73
28.59,53.87,28.41,60.27,26.27,55.42
30.16,55.82,28.33,61.89,26.21,57.03
29.41,57.31,28.10,63.51,25.98,58.65
29.75,60.59,27.91,65.21,25.80,60.35
29.74,61.07,27.91,66.87,25.81,62.00
32.04,63.06,27.61,68.74,25.54,63.87
28.89,63.32,27.30,70.43,25.23,65.55
31.76,66.89,27.31,71.66,25.27,66.78
34.46,67.45,27.22,72.98,25.21,68.09
34.52,68.51,27.08,73.95,25.10,69.06
35.44,71.85,27.17,74.88,25.23,70.00
35.80,70.27,27.31,75.83,25.40,70.94
37.16,71.69,27.36,76.55,25.49,71.66
41.18,71.76,27.44,77.43,25.63,72.53
38.66,73.60,27.48,78.30,25.71,73.41
41.37,75.31,27.62,79.04,25.91,74.15
47.71,77.42,27.83,79.69,26.20,74.80
50.46,78.42,28.07,80.08,26.53,75.21
44.90,76.93,28.16,79.73,26.70,74.86
45.67,77.50,28.50,77.99,27.10,73.14
47.02,75.99,28.81,75.66,27.48,70.83
41.21,73.99,29.08,73.20,27.80,68.39
37.78,69.90,29.10,71.16,27.86,66.37
29.60,64.70,29.47,68.74,28.22,63.94
25.58,65.11,29.88,66.36,28.62,61.58
23.39,61.63,30.16,64.41,28.88,59.64
22.33,59.68,30.57,62.70,29.25,57.94
23.55,57.51,30.59,61.42,29.24,56.66
22.68,55.51,30.79,60.23,29.41,55.46
23.65,54.43,31.30,58.88,29.89,54.11
24.51,53.84,31.61,57.60,30.17,52.83
25.31,52.61,32.03,56.08,30.57,51.31
26.09,50.85,32.79,54.31,31.30,49.55
24.82,49.96,33.23,52.59,31.71,47.84
25.77,46.89,33.83,50.62,32.28,45.87
29.08,47.69,34.35,48.76,32.77,44.02
27.12,45.58,34.58,46.89,32.98,42.17
24.69,40.89,35.18,44.98,33.54,40.26
23.18,38.21,35.97,43.24,34.28,38.51
26.74,36.96,36.73,41.85,34.99,37.13
26.43,35.99,37.38,40.42,35.60,35.69
26.12,34.77,37.89,38.98,36.06,34.25
25.54,34.00,38.55,37.75,36.68,33.02
27.76,30.54,39.73,36.51,37.81,31.78
28.49,30.22,40.97,35.21,39.00,30.48
29.41,30.57,42.08,34.25,40.07,29.52
32.02,28.97,43.40,33.18,41.34,28.45
32.45,27.93,44.74,32.08,42.63,27.35
32.24,25.95,45.43,31.27,43.28,26.53
36.14,25.93,46.49,30.18,44.30,25.45
37.48,25.54,47.56,29.00,45.34,24.27
36.61,24.48,47.81,28.18,45.55,23.45
34.40,21.53,48.92,27.39,46.60,22.66
39.58,21.09,49.90,26.70,47.54,21.96
39.62,21.17,50.49,25.91,48.09,21.17
38.84,19.48,51.35,25.13,48.90,20.39
42.58,21.79,52.41,24.57,49.93,19.83
41.93,18.49,53.96,23.75,51.44,19.01
42.04,16.99,55.40,23.02,52.83,18.27
47.21,18.10,56.37,22.44,53.77,17.69
45.48,15.89,57.66,21.75,55.02,17.00
48.42,16.71,58.81,21.44,56.13,16.68
50.92,16.16,59.83,21.02,57.12,16.27
49.31,15.52,60.67,20.33,57.91,15.57
52.19,15.77,61.07,19.87,58.28,15.12
49.23,10.82,61.99,19.30,59.17,14.53
52.63,12.80,62.26,19.04,59.40,14.26
53.05,13.90,62.93,18.73,60.03,13.95
54.06,8.21,63.65,18.20,60.72,13.39
54.13,12.76,63.70,18.00,60.74,13.19
53.45,8.93,64.30,17.66,61.30,12.84
53.97,8.35,64.54,17.46,61.51,12.62
56.12,8.17,64.42,17.29,61.37,12.42
54.62,6.09,65.32,16.86,62.22,11.97
57.57,8.50,65.49,16.60,62.37,11.70
55.03,9.21,66.30,16.15,63.15,11.24
57.88,4.06,66.18,15.84,63.00,10.90
56.24,7.31,65.72,15.60,62.51,10.65
56.47,4.93,65.39,15.40,62.15,10.42
54.55,6.16,65.42,15.05,62.15,10.05
56.24,3.34,64.84,14.82,61.53,9.79
54.06,2.80,65.45,14.65,62.11,9.60
57.67,3.34,65.08,14.59,61.72,9.51
56.37,4.98,64.68,14.43,61.29,9.33
52.98,2.19,64.61,14.25,61.19,9.12
53.75,3.37,64.37,14.08,60.91,8.93
56.30,4.05,63.82,13.87,60.34,8.69
54.44,0.87,63.87,13.57,60.36,8.36
53.51,2.87,62.97,13.41,59.43,8.19
51.39,3.13,61.24,13.22,57.67,7.97
50.24,0.15,60.02,12.94,56.42,7.67
49.39,0.08,58.05,12.96,54.43,7.65
46.95,0.83,54.92,13.22,51.28,7.88
43.54,2.33,52.55,13.13,48.88,7.77
39.91,1.14,50.91,13.00,47.20,7.61
37.73,2.73,49.22,12.98,45.47,7.57
36.63,0.35,47.00,13.02,43.22,7.58
33.31,1.70,45.59,12.96,41.77,7.50
33.79,1.86,43.73,12.92,39.89,7.43
30.33,0.72,41.45,12.91,37.57,7.39
27.73,0.64,39.08,12.92,35.17,7.38
25.85,1.25,36.84,12.85,32.89,7.28
23.98,-0.02,35.15,12.74,31.16,7.14
23.00,0.79,33.31,12.77,29.29,7.14
19.24,2.07,31.09,12.83,27.03,7.18
17.56,0.55,29.01,12.71,24.92,7.03
15.46,2.25,26.34,12.70,22.22,7.00
12.24,2.07,24.11,12.88,19.96,7.16
9.87,1.69,22.52,12.94,18.32,7.19
9.14,0.69,20.60,12.98,16.37,7.20
6.04,1.13,18.61,13.02,14.34,7.22
4.04,1.04,17.16,13.05,12.85,7.23
2.83,1.26,15.85,12.99,11.50,7.14
1.73,1.49,14.58,12.93,10.19,7.06
0.45,1.48,12.71,12.98,8.29,7.08
-1.46,2.58,10.69,13.05,6.23,7.13
-5.68,0.43,8.66,13.04,4.16,7.09
-6.94,1.31,7.03,12.89,2.48,6.92
-6.26,2.30,6.01,12.87,1.43,6.88
-8.17,1.37,4.37,13.00,-0.25,6.99
-11.01,1.00,1.56,13.62,-3.10,7.58
-14.99,2.37,-0.42,14.11,-5.13,8.04
-16.56,3.09,-2.09,14.50,-6.84,8.41
-17.61,2.04,-4.65,14.86,-9.44,8.74
-19.85,3.79,-7.63,15.30,-12.45,9.15
-22.62,4.39,-8.83,15.57,-13.69,9.41
-24.81,3.93,-9.82,15.75,-14.73,9.56
-27.41,4.10,-12.86,15.90,-17.81,9.69
-26.99,5.24,-14.87,16.13,-19.85,9.89
-30.05,4.95,-15.58,16.21,-20.61,9.96
-36.06,6.23,-17.02,16.13,-22.11,9.86
-33.00,6.83,-20.83,16.30,-25.95,10.02
-37.37,4.84,-22.35,16.17,-27.52,9.87
-38.53,5.87,-22.85,16.26,-28.06,9.94
-38.63,5.10,-24.72,16.39,-29.97,10.05
-42.56,4.10,-27.57,16.48,-32.87,10.11
-41.74,6.51,-28.96,16.47,-34.30,10.08
-46.01,4.86,-30.61,16.63,-35.99,10.22
-48.56,6.16,-32.39,16.56,-37.82,10.14
-49.84,3.65,-35.26,16.71,-40.74,10.25
-53.17,5.72,-36.89,16.68,-42.41,10.21
-55.64,5.64,-38.53,16.36,-44.10,9.87
-55.53,4.51,-40.30,16.23,-45.92,9.72
-56.07,2.87,-41.15,16.05,-46.81,9.51
-59.63,5.37,-42.76,16.08,-48.47,9.52
-61.03,5.23,-45.19,16.45,-50.94,9.87
-63.12,5.49,-46.24,16.63,-52.04,10.03
-67.23,7.21,-46.49,16.58,-52.36,9.97
-63.65,5.93,-46.58,16.62,-52.50,9.99
-62.35,5.45,-44.87,16.53,-50.85,9.88
-60.50,4.71,-42.86,16.53,-48.88,9.86
-58.96,2.09,-39.84,16.34,-45.92,9.64
-54.65,5.34,-35.92,15.99,-42.05,9.27
-50.90,6.80,-33.09,15.77,-39.28,9.04
-47.09,3.92,-31.85,15.91,-38.08,9.16
-44.93,3.51,-29.33,15.91,-35.60,9.13
-44.66,3.73,-25.51,15.51,-31.84,8.71
-40.87,2.51,-23.76,15.68,-30.14,8.86
-37.88,0.24,-20.13,15.36,-26.56,8.50
-33.24,1.16,-16.69,15.08,-23.16,8.19
-30.32,0.12,-13.52,14.96,-20.04,8.04
-26.41,1.29,-10.83,15.00,-17.40,8.05
-23.02,2.82,-8.29,15.11,-14.89,8.13
-20.08,0.80,-5.76,15.20,-12.40,8.20
-17.42,2.02,-3.04,14.99,-9.72,7.96
-14.08,1.15,-0.32,14.92,-7.03,7.86
-12.04,0.25,1.71,14.84,-5.03,7.75
-10.46,0.67,4.25,14.69,-2.53,7.57
-7.34,0.24,6.45,14.46,-0.36,7.30
-5.77,0.35,7.83,14.41,0.98,7.23
-4.10,0.06,9.33,14.32,2.45,7.11
-1.57,-0.32,10.86,14.06,3.96,6.82
0.53,-0.02,12.65,13.73,5.72,6.46
1.88,0.40,13.95,13.39,7.00,6.10
